date,arrivals,patients_in_hospital,patients_added,patients_dismissed,capacity,capacity_precentage,predictions_histoty
7/3/2020,17,,,,,,
7/4/2020,30,,,,,,
7/5/2020,11,,,,,,
7/6/2020,28,,,,,,
7/7/2020,17,,,,,,
7/8/2020,32,,,,,,
7/9/2020,17,,,,,,
7/10/2020,23,,,,,,
7/11/2020,9,,,,,,
7/12/2020,8,,,,,,
7/13/2020,22,,,,,,
7/14/2020,12,,,,,,
7/15/2020,24,,,,,,
7/16/2020,20,,,,,,
7/17/2020,24,,,,,,
7/18/2020,12,,,,,,
7/19/2020,12,,,,,,
7/20/2020,10,,,,,,
7/21/2020,13,,,,,,
7/22/2020,24,,,,,,
7/23/2020,20,,,,,,
7/24/2020,10,,,,,,
7/25/2020,10,,,,,,
7/26/2020,14,,,,,,
7/27/2020,18,,,,,,
7/28/2020,17,,,,,,
7/29/2020,29,,,,,,
7/30/2020,26,,,,,,
7/31/2020,33,,,,,,
8/1/2020,19,,,,,,
8/2/2020,18,,,,,,
8/3/2020,17,,,,,,
8/4/2020,14,,,,,,
8/5/2020,11,,,,,,
8/6/2020,24,,,,,,
8/7/2020,20,,,,,,
8/8/2020,3,,,,,,
8/9/2020,25,,,,,,
8/10/2020,26,,,,,,
8/11/2020,20,,,,,,
8/12/2020,7,,,,,,
8/13/2020,37,,,,,,
8/14/2020,9,,,,,,
8/15/2020,26,,,,,,
8/16/2020,24,,,,,,
8/17/2020,22,,,,,,
8/18/2020,23,,,,,,
8/19/2020,30,,,,,,
8/20/2020,20,,,,,,
8/21/2020,13,,,,,,
8/22/2020,26,,,,,,
8/23/2020,19,,,,,,
8/24/2020,24,,,,,,
8/25/2020,15,,,,,,
8/26/2020,23,,,,,,
8/27/2020,32,,,,,,
8/28/2020,19,,,,,,
8/29/2020,9,,,,,,
8/30/2020,24,,,,,,
8/31/2020,21,,,,,,
9/1/2020,37,,,,,,
9/2/2020,13,,,,,,
9/3/2020,9,,,,,,
9/4/2020,16,,,,,,
9/5/2020,18,,,,,,
9/6/2020,19,,,,,,
9/7/2020,17,,,,,,
9/8/2020,17,,,,,,
9/9/2020,29,,,,,,
9/10/2020,14,,,,,,
9/11/2020,7,,,,,,
9/12/2020,15,,,,,,
9/13/2020,24,,,,,,
9/14/2020,20,,,,,,
9/15/2020,14,,,,,,
9/16/2020,26,,,,,,
9/17/2020,19,,,,,,
9/18/2020,18,,,,,,
9/19/2020,15,,,,,,
9/20/2020,20,,,,,,
9/21/2020,25,,,,,,
9/22/2020,26,,,,,,
9/23/2020,14,,,,,,
9/24/2020,15,,,,,,
9/25/2020,20,,,,,,
9/26/2020,22,,,,,,
9/27/2020,12,,,,,,
9/28/2020,6,,,,,,
9/29/2020,16,,,,,,
9/30/2020,20,,,,,,
10/1/2020,20,,,,,,
10/2/2020,24,,,,,,
10/3/2020,10,,,,,,
10/4/2020,20,,,,,,
10/5/2020,25,,,,,,
10/6/2020,41,,,,,,
10/7/2020,31,,,,,,
10/8/2020,13,,,,,,
10/9/2020,19,,,,,,
10/10/2020,17,,,,,,
10/11/2020,18,,,,,,
10/12/2020,12,,,,,,
10/13/2020,15,,,,,,
10/14/2020,6,,,,,,
10/15/2020,18,,,,,,
10/16/2020,22,,,,,,
10/17/2020,28,,,,,,
10/18/2020,34,,,,,,
10/19/2020,23,,,,,,
